protocol,problem,parameter,value,lambda_1,stagnation_limit,seed,migd,tail_igd,n_evals,pitstop_count,redeployment_count,environment_change_count,change_response_count,replaced_count,runtime_sec
moderate_t10_n10,df4,lambda_1,0.15,0.15,8,8,0.25703330534056124,0.17960887171147888,12220,6,6,6,6,48,1.012513300000137
moderate_t10_n10,df4,lambda_1,0.15,0.15,8,9,0.24119593059210312,0.18133643021338972,12208,5,6,6,6,48,1.0079093000022112
moderate_t10_n10,df7,lambda_1,0.15,0.15,8,0,0.09895289193785196,0.011770588433414898,12220,6,6,6,6,48,0.9493007000019134
moderate_t10_n10,df7,lambda_1,0.15,0.15,8,1,0.10868515848506656,0.012353884569627223,12208,5,6,6,6,48,0.9521578999992926
moderate_t10_n10,df7,lambda_1,0.15,0.15,8,2,0.11471960941931701,0.011796541037986835,12208,5,6,6,6,48,0.9566783999980544
moderate_t10_n10,df7,lambda_1,0.15,0.15,8,3,0.15532261203650347,0.013003759543592097,12208,5,6,6,6,48,0.9675338000015472
moderate_t10_n10,df7,lambda_1,0.15,0.15,8,4,0.11242123090218219,0.011736793070686098,12196,4,6,6,6,48,1.0779328999997233
moderate_t10_n10,df7,lambda_1,0.15,0.15,8,5,0.1508185976574601,0.01198237185261991,12220,6,6,6,6,48,1.1300042000002577
moderate_t10_n10,df7,lambda_1,0.15,0.15,8,6,0.12068784276787989,0.013234979896405593,12220,6,6,6,6,48,1.0594178999999713
moderate_t10_n10,df7,lambda_1,0.15,0.15,8,7,0.13648943232953187,0.01390399048444899,12208,5,6,6,6,48,1.1162480999992113
moderate_t10_n10,df7,lambda_1,0.15,0.15,8,8,0.3313706993714943,0.013081187208290693,12196,4,6,6,6,48,1.0213000000003376
moderate_t10_n10,df7,lambda_1,0.15,0.15,8,9,0.12688336285009397,0.012908446135651832,12220,6,6,6,6,48,1.021164100002352
